prompt,response,label,polarity,subjectivity
How do you feel about mornings?,"How do you feel about mornings? I've been working on a lot more lately because, in my mind, I would like to spend an hour with the guys who are actually doing their work. They'd be nice if they could help me figure out what time has come for them",before,0.2,0.55
Describe a walk in the park.,"Describe a walk in the park. The first time I›I got to see them take me by surprise, but it was like being on my own.""",before,0.425,0.6666666666666666
What makes a good day?,"What makes a good day? It‬s easy. If you're going to stick with your new job, the process is simple and not painful for anyone who's worked on that before then. So it was fun watching my team get together during all of our meetings while",before,0.31994949494949493,0.5575036075036076
How would you define success?,"How would you define success? How do I create a product that works for me and help other people better use it in their daily lives so they can improve on the things we have to offer.‍ If your company is going to get creative, what are some of these",before,0.23500000000000001,0.375
What is your favorite food and why?,"What is your favorite food and why? The first part of the process has to take place in a big kitchen or on top of some kind, so you have one very important thing. Some people might think that it's just about their comfort level because they need something else here – but",before,0.395,0.638888888888889
How do you handle stress?,"How do you handle stress? I've been through a lot of stressful times and it's hard to get up over the holidays. I had some really high expectations but those things only made me go that far, knowing what was going on around my mind when we were taking our",before,-0.007916666666666669,0.7704166666666666
What are your thoughts on silence?,"What are your thoughts on silence? That’s a good question. I just want to know what you think, and how we can address it if only the people who speak up should be able to hear them in their own voices about this issue!",before,0.4875,0.80625
What does comfort mean to you?,"What does comfort mean to you? No, there are many reasons that we all seem happy and proud of the way some people have been treated. It's a lot easier for us to express our happiness without feeling like it was somehow bad or upsetting because another person is too close to",before,0.29791666666666666,0.6756944444444445
How do you feel about being alone?,"How do you feel about being alone? Do you have the right to choose, if not in partnership? I think I can talk and say it when we work together. It is always hard for us to be friends or family like that because maybe our relationship doesn't make sense at all",before,-0.0029761904761904934,0.5386904761904762
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. The White House is working hard to build relations with Moscow and Beijing on the issue of security, not just against ISIL but also for regional stability in Syria where they are fighting alongside President Bashar al-Assad's forces that have been battling insurgents after he",before,-0.09722222222222222,0.2916666666666667
How do you feel about mornings?,"How do you feel about mornings? I've been on a lot of these things, and I think it's pretty good to have as many. And with the new wave that we're seeing in all those apps out there now too - this is something really exciting for me: how",before,0.3772727272727273,0.6709090909090909
Describe a walk in the park.,"Describe a walk in the park. ""I was just there because I wanted to be home,"" she said. ""It's not always fun, it's kind of annoying.""",before,0.03333333333333329,0.6666666666666666
What makes a good day?,"What makes a good day? It's not necessarily an ideal choice for me. I've had this experience with the best doctors in my life—and they are very happy and pleased to have found out what is truly going on, how it happened, why we're doing these things",before,0.55,0.78
